+-----------------------------------------+--------------------+----------+-----------------------------------+
| File                                    | Execution Time     | Action   | Signature                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.138044357299805  | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 13.212919235229492 | Execute  | test(460, "dummy")                |
+-----------------------------------------+--------------------+----------+-----------------------------------+
| Total Execution Time                    | 20.51782608032227  |
+-----------------------------------------+--------------------+----------+-----------------------------------+
+-----------------------------------------+----------------------+----------+-----------------------------------+
| File                                    | Execution Time       | Action   | Signature                         |
+-----------------------------------------+----------------------+----------+-----------------------------------+
| Unknown file                            | 0.027894973754883    | Allocate | test()                            |
| Unknown file                            | 0.006914138793945    | Allocate | test-2()                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.128984451293945    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.090122222900391    | Execute  | test(10)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.137090682983398    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.082969665527344    | Execute  | test(20, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.07176399230957     | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.058174133300781    | Execute  | test(30)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.073909759521484    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.054121017456055    | Execute  | test(40, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.07176399230957     | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.068187713623047    | Execute  | test(50)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.075101852416992    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.058174133300781    | Execute  | test(60, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.075101852416992    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(70)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.087738037109375    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(80, "dummy")                 |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.082731246948242    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056266784667969    | Execute  | test(90)                          |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.095129013061523    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.071048736572266    | Execute  | test(100, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.075101852416992    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.067710876464844    | Execute  | test(110)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.1068115234375      | Execute  | test-2(("key": false), (1, 2, 3)) |
